Gender,Age,Annual_Income,Employment_Status,Years_of_Employment,Education_Level,Marital_Status,Number_of_Dependents,Existing_Loan_Amount,Monthly_Income,Credit_Score,Loan_Status,Credit_History,Number_of_Credit_Inquiries,Debt_to_Income_Ratio,Approval_Status
Female,59,123550.59,Self-Employed,3.0,High School,Married,2,28370.24,9034.79,687.0,Default,Good,4,0.41,Approved
Female,53,59551.49,Retired,2.8,Bachelor,Single,0,15625.56,4608.86,759.0,Active,Good,6,0.3042,Approved
Female,23,131792.25,Employed,5.0,Master,Married,1,25397.45,10456.03,626.0,Closed,Good,1,0.222,Approved
Female,60,118196.98,Retired,1.2,PhD,Married,3,10924.62,9000.44,647.0,Default,Good,6,0.3451,Approved
Male,60,129789.4,Employed,16.8,Other,Married,3,35218.1,10405.84,837.0,None,Good,0,0.3602,Approved
Male,37,112474.45,Employed,4.7,Bachelor,Single,1,20159.12,9077.87,735.0,None,Good,0,0.4537,Approved
Male,60,55713.83,Employed,9.4,Bachelor,Single,4,15635.45,4337.26,676.0,None,Good,6,0.3575,Approved
Male,52,110417.09,Self-Employed,4.6,PhD,Married,2,11210.71,8013.52,643.0,None,Good,4,0.1246,Approved
Female,64,44254.11,Employed,11.3,Bachelor,Single,0,6021.48,3628.41,759.0,Active,Good,2,0.2642,Approved
Female,62,63889.97,Employed,2.0,Master,Married,0,12900.54,5278.57,664.0,None,No History,5,0.4934,Approved
Female,22,85348.27,Employed,1.4,High School,Single,1,22657.17,6100.42,688.0,None,Poor,1,0.5612,Approved
Male,54,102358.86,Unemployed,0.5,Bachelor,Single,0,7713.64,7935.94,629.0,Active,Poor,2,0.1313,Approved
Female,27,42667.64,Self-Employed,0.7,Bachelor,Single,3,15684.97,3390.8,699.0,Default,Average,1,0.645,Approved
Female,21,32103.36,Unemployed,3.0,PhD,Married,2,3029.07,2634.03,637.0,Closed,Poor,0,0.1991,Approved
Female,56,136812.04,Employed,5.9,Master,Married,4,15341.37,10727.94,663.0,Closed,Average,0,0.1176,Approved
Female,32,86145.83,Employed,1.4,Master,Married,4,20965.4,6787.21,552.0,Closed,Good,7,0.4327,Approved
Male,24,23161.08,Employed,6.0,Bachelor,Married,2,11352.77,1827.45,640.0,None,Good,3,0.5785,Approved
Male,23,94107.95,Unemployed,4.8,High School,Married,1,11959.41,6780.29,709.0,Active,Good,1,0.3903,Approved
Female,45,99496.78,Employed,10.9,High School,Divorced,3,28797.6,7149.17,605.0,Closed,Poor,7,0.4629,Approved
Male,62,126938.07,Employed,0.7,Master,Single,0,52544.05,9562.97,639.0,None,Average,3,0.4787,Rejected
Male,36,146860.77,Employed,1.6,Bachelor,Married,3,54635.34,11350.44,733.0,None,No History,1,0.3796,Approved
Male,52,91399.47,Employed,5.4,Master,Single,4,29168.8,7290.55,599.0,Active,Good,4,0.5405,Rejected
Male,49,35089.44,Employed,0.5,Master,Married,4,8306.93,2505.68,631.0,None,Good,0,0.3761,Approved
